Symbol,Full Name,GICS Sector,GICS Sub-Industry,Environment Score,Social Score,Governance Score,Total Esg,Highest Controversy,Percentile,Market Cap,Beta,Overall Risk
MMM,3M,Industrials,Industrial Conglomerates,12.33,13.56,7.72,33.61,3,74.68,55784308736.0,0.968188,7
AOS,A. O. Smith,Industrials,Building Products,7.29,11.87,6.27,25.43,0,46.64,10048283648.0,1.286998,10
ABT,Abbott,Health Care,Health Care Equipment,3.03,13.59,8.36,24.98,3,44.01,176555524096.0,0.673236,8
ABBV,AbbVie,Health Care,Pharmaceuticals,1.12,16.77,9.95,27.84,3,55.08,268499402752.0,0.547026,9
ACN,Accenture,Information Technology,IT Consulting & Other Services,0.29,4.58,4.83,9.71,2,2.21,197301125120.0,1.215421,1
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,0.15,12.48,6.31,18.94,4,21.96,72243789824.0,0.443637,8
ADM,ADM,Consumer Staples,Agricultural Products & Services,18.23,13.16,5.01,36.4,3,82.67,42539696128.0,0.828492,4
ADBE,Adobe Inc.,Information Technology,Application Software,1.89,5.93,4.64,12.46,1,5.31,241068064768.0,1.059647,2
ADP,ADP,Industrials,Human Resource & Employment Services,1.07,6.96,5.94,13.97,1,8.15,101064531968.0,0.814315,2
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,16.48,11.2,6.47,34.15,2,78.0,11544403968.0,0.967496,3
AFL,Aflac,Financials,Life & Health Insurance,0.47,7.26,9.57,17.3,2,16.56,45451685888.0,0.933955,5
A,Agilent Technologies,Health Care,Health Care Equipment,0.34,8.65,6.26,15.24,1,10.91,33913761792.0,1.026279,8
APD,Air Products and Chemicals,Materials,Industrial Gases,5.94,1.28,3.59,10.81,1,3.12,67113426944.0,0.877247,5
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,2.93,6.9,6.72,16.55,1,14.46,15854007296.0,0.764522,7
ALK,Alaska Air Group,Industrials,Passenger Airlines,3.7,8.73,6.2,6.21,2,29.85,5021531648.0,1.549792,2
ALB,Albemarle Corporation,Materials,Specialty Chemicals,15.53,5.54,7.73,28.8,2,60.23,21573072896.0,1.562932,7
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,3.91,3.66,6.27,13.85,0,7.93,19678474240.0,0.955394,9
ALGN,Align Technology,Health Care,Health Care Supplies,3.7,8.73,6.2,6.21,2,29.85,25416075264.0,1.628976,8
ALLE,Allegion,Industrials,Building Products,12.75,4.54,6.43,23.72,0,39.72,9276590080.0,1.112378,8
LNT,Alliant Energy,Utilities,Electric Utilities,10.04,5.65,6.18,21.87,1,32.38,13085790208.0,0.550829,3
ALL,Allstate,Financials,Property & Casualty Insurance,1.44,7.85,9.94,19.22,2,22.85,28454019072.0,0.57123,2
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,1.66,11.1,11.39,24.14,4,40.68,1737615343616.0,1.05982,10
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,3.7,8.73,6.2,6.21,2,29.85,1737794781184.0,1.05982,10
MO,Altria,Consumer Staples,Tobacco,4.66,12.98,6.35,23.99,2,39.98,78260404224.0,0.624827,3
AMZN,Amazon,Consumer Discretionary,Broadline Retail,5.59,14.8,9.89,30.28,3,64.44,1448515993600.0,1.235822,10
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,3.7,8.73,6.2,6.21,2,29.85,13543382016.0,0.858757,8
AMD,AMD,Information Technology,Semiconductors,3.7,8.73,6.2,6.21,2,29.85,163974348800.0,1.797026,6
AEE,Ameren,Utilities,Multi-Utilities,14.11,9.93,5.49,29.53,2,63.46,21222316032.0,0.455394,6
AAL,American Airlines Group,Industrials,Passenger Airlines,11.53,12.31,5.26,29.1,2,61.51,8696248320.0,1.567081,7
AEP,American Electric Power,Utilities,Electric Utilities,12.84,7.54,5.43,25.81,2,47.31,41234685952.0,0.461964,6
AXP,American Express,Financials,Consumer Finance,0.05,8.37,9.95,18.38,2,20.03,120595161088.0,1.18603,9
AIG,American International Group,Financials,Property & Casualty Insurance,1.87,9.67,13.79,25.32,2,45.32,43554045952.0,1.152489,1
AMT,American Tower,Real Estate,Telecom Tower REITs,2.36,3.56,5.02,10.94,1,3.23,83973341184.0,0.578146,1
AWK,American Water Works,Utilities,Water Utilities,9.04,7.58,5.27,21.89,1,32.45,27039522816.0,0.57123,2
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2.57,7.22,12.82,22.61,2,35.18,35623534592.0,1.476832,4
AME,Ametek,Industrials,Electrical Components & Equipment,8.65,8.51,6.92,24.08,1,41.14,34982862848.0,1.219225,8
AMGN,Amgen,Health Care,Biotechnology,0.69,13.46,7.89,22.04,3,32.32,140304629760.0,0.613762,3
APH,Amphenol,Information Technology,Electronic Components,8.04,5.49,7.81,21.35,2,30.55,51128037376.0,1.247925,7
ADI,Analog Devices,Information Technology,Semiconductors,10.13,7.74,5.9,23.78,0,39.13,88769650688.0,1.166666,8
